geography,firmsize,year,quarter,Emp,EmpEnd,sEmp,sEmpEnd
6073,0,1991,4,772195,764559,1,1
6073,1,1991,4,187588,181972,1,1
6073,2,1991,4,86925,84053,1,1
6073,3,1991,4,140068,136153,1,1
6073,4,1991,4,44596,43905,1,1
6073,5,1991,4,313018,318476,1,1
6075,0,1991,4,550661,542880,1,1
6075,1,1991,4,95680,94294,1,1
6075,2,1991,4,47837,47630,1,1
6075,3,1991,4,75950,75085,1,1
6075,4,1991,4,27853,27807,1,1
6075,5,1991,4,303340,298064,1,1
6077,0,1991,4,139003,123486,1,1
6077,1,1991,4,42265,34836,1,1
6077,2,1991,4,17887,15813,1,1
6077,3,1991,4,23606,20045,1,1
6077,4,1991,4,8209,7612,1,1
6077,5,1991,4,47036,45179,1,1
6079,0,1991,4,55084,53744,1,1
6079,1,1991,4,22068,20656,1,1
6079,2,1991,4,9390,9009,1,1
6079,3,1991,4,9670,9265,1,1
6079,4,1991,4,2710,2522,1,1
6079,5,1991,4,11246,12291,1,1
6081,0,1991,4,247845,247157,1,1
6081,1,1991,4,60440,59358,1,1
6081,2,1991,4,28960,28693,1,1
6081,3,1991,4,41958,41208,1,1
6081,4,1991,4,13905,14137,1,1
6081,5,1991,4,102581,103760,1,1
6083,0,1991,4,117562,113246,1,1
6083,1,1991,4,39750,37171,1,1
6083,2,1991,4,18224,17447,1,1
6083,3,1991,4,22128,21459,1,1
6083,4,1991,4,6475,6340,1,1
6083,5,1991,4,30985,30829,1,1
6085,0,1991,4,710140,700214,1,1
6085,1,1991,4,129334,126029,1,1
6085,2,1991,4,68980,67443,1,1
6085,3,1991,4,113778,111227,1,1
6085,4,1991,4,40100,38438,1,1
6085,5,1991,4,357948,357077,1,1
6087,0,1991,4,78842,70895,1,1
6087,1,1991,4,27854,24018,1,1
6087,2,1991,4,12449,10365,1,1
6087,3,1991,4,12868,11847,1,1
6087,4,1991,4,3459,3541,1,1
6087,5,1991,4,22212,21124,1,1
6089,0,1991,4,44401,43196,1,1
6089,1,1991,4,16583,15266,1,1
6089,2,1991,4,6868,7007,1,1
6089,3,1991,4,5499,5403,1,1
6089,4,1991,4,988,912,1,1
6089,5,1991,4,14463,14607,1,1
6091,0,1991,4,469,352,1,1
6091,1,1991,4,311,197,1,1
6091,2,1991,4,,,5,5
6091,3,1991,4,,,5,5
6091,5,1991,4,,,5,5
6093,0,1991,4,11235,10324,1,1
6093,1,1991,4,5191,4570,1,1
6093,2,1991,4,1258,1033,1,1
6093,3,1991,4,1638,1601,1,1
6093,4,1991,4,215,115,9,1
6093,5,1991,4,2933,3004,1,1
6095,0,1991,4,69837,67401,1,1
6095,1,1991,4,19011,17226,1,1
6095,2,1991,4,8331,8026,1,1
6095,3,1991,4,12211,12059,1,1
6095,4,1991,4,4854,4538,1,1
6095,5,1991,4,25430,25551,1,1
6097,0,1991,4,121282,117596,1,1
6097,1,1991,4,43765,41002,1,1
6097,2,1991,4,19923,18475,1,1
6097,3,1991,4,21868,21771,1,1
6097,4,1991,4,5645,5510,1,1
6097,5,1991,4,30080,30838,1,1
6099,0,1991,4,113693,104192,1,1
6099,1,1991,4,33995,28822,1,1
6099,2,1991,4,14400,12777,1,1
6099,3,1991,4,19631,17446,1,1
6099,4,1991,4,3561,3292,1,1
6099,5,1991,4,42106,41856,1,1
6101,0,1991,4,16959,15036,1,1
6101,1,1991,4,7682,6056,1,1
6101,2,1991,4,2997,2862,1,1
6101,3,1991,4,2817,2638,1,1
6101,4,1991,4,924,854,1,1
6101,5,1991,4,2538,2625,1,1
6103,0,1991,4,10514,9943,1,1
6103,1,1991,4,4355,3880,1,1
6103,2,1991,4,1253,1194,1,1
6103,3,1991,4,1472,1366,1,1
6103,4,1991,4,513,506,9,1
6103,5,1991,4,2921,2996,1,1
6105,0,1991,4,1492,1297,1,1
6105,1,1991,4,982,826,1,1
6105,2,1991,4,142,116,9,9
6105,3,1991,4,242,226,9,9
6105,5,1991,4,126,130,1,1
6107,0,1991,4,89048,82629,1,1
6107,1,1991,4,34089,30777,1,1
6107,2,1991,4,11505,10181,1,1
6107,3,1991,4,18061,17198,1,1
6107,4,1991,4,4179,3595,1,1
6107,5,1991,4,21214,20878,1,1
6109,0,1991,4,10696,10510,1,1
6109,1,1991,4,5067,4633,1,1
6109,2,1991,4,1892,1810,1,1
6109,3,1991,4,1015,1011,1,1
6109,4,1991,4,453,749,9,9
6109,5,1991,4,2269,2307,1,1
6111,0,1991,4,187079,181437,1,1
6111,1,1991,4,50861,48787,1,1
6111,2,1991,4,23458,22692,1,1
6111,3,1991,4,35763,33878,1,1
6111,4,1991,4,13588,13231,1,1
6111,5,1991,4,63409,62849,1,1
6113,0,1991,4,53172,49701,1,1
6113,1,1991,4,13871,11890,1,1
6113,2,1991,4,6591,5889,1,1
6113,3,1991,4,8502,7965,1,1
6113,4,1991,4,2909,2823,1,1
6113,5,1991,4,21300,21134,1,1
6115,0,1991,4,10083,9057,1,1
6115,1,1991,4,3836,3334,1,1
6115,2,1991,4,1332,1192,1,1
6115,3,1991,4,1844,1748,1,1
6115,4,1991,4,446,396,1,1
6115,5,1991,4,2625,2387,1,1
6001,0,1992,1,451407,451935,1,1
6001,1,1992,1,95749,99859,1,1
6001,2,1992,1,54857,55305,1,1
6001,3,1992,1,76314,75965,1,1
6001,4,1992,1,24224,23599,1,1
6001,5,1992,1,200262,197207,1,1
6003,0,1992,1,522,606,9,9
6003,1,1992,1,46,50,1,1
6003,2,1992,1,,,5,5
6003,3,1992,1,,,5,5
6003,4,1992,1,,,5,5
6003,5,1992,1,11,11,9,9
6005,0,1992,1,5718,5873,1,1
6005,1,1992,1,2716,2737,1,1
6005,2,1992,1,628,683,1,1
6005,3,1992,1,1317,1431,1,9
6005,4,1992,1,87,88,1,1
6005,5,1992,1,971,932,9,1
6007,0,1992,1,42956,43080,1,1
6007,1,1992,1,15069,15464,1,1
6007,2,1992,1,5976,6050,1,1
6007,3,1992,1,6444,6389,1,1
6007,4,1992,1,2263,2258,1,1
6007,5,1992,1,13205,12919,1,1
6009,0,1992,1,4456,4451,1,1
6009,1,1992,1,2278,2349,1,1
6009,2,1992,1,869,876,1,1
6009,3,1992,1,384,380,1,9
6009,4,1992,1,408,344,9,9
6009,5,1992,1,517,502,9,9
6011,0,1992,1,3696,3705,1,1
